"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-06-04,"EMPLOYEES"," Reimbursement of OPD medicines to CS (MA) beneficiaries- Special Sanction in view of COVID - 19.pdf",1," Reimbursement of OPD medicines to CS (MA) beneficiaries- Special Sanction in view of COVID - 19","EMPLOYEES","OTHERS",16
2020-06-12,"AWARENESS"," Guidelines for Hotels on preventive measures to contain spread of COVID 19.pdf",1," Guidelines for Hotels on preventive measures to contain spread of COVID 19","AWARENESS","AWARENESS",12
2020-06-12,"AWARENESS"," Guidelines for Officers on preventive measures to contain spread of COVID 19.pdf",2," Guidelines for Officers on preventive measures to contain spread of COVID 19","AWARENESS","AWARENESS",12
2020-06-12,"AWARENESS"," Guidelines for Religious Places on preventive measures to contain spread of COVID 19.pdf",3," Guidelines for Religious Places on preventive measures to contain spread of COVID 19","AWARENESS","AWARENESS",13
2020-06-12,"AWARENESS"," Guidelines for Restaurants on preventive measures to contain spread of COVID 19.pdf",4," Guidelines for Restaurants on preventive measures to contain spread of COVID 19","AWARENESS","AWARENESS",12
2020-06-12,"AWARENESS"," Guidelines for Shopping Malls on preventive measures to contain spread of COVID 19.pdf",5," Guidelines for Shopping Malls on preventive measures to contain spread of COVID 19","AWARENESS","AWARENESS",13
2020-06-16,"AWARENESS"," Guide to address stigma associated with COVID19(English).pdf",1," Guide to address stigma associated with COVID19(English)","AWARENESS","AWARENESS",7
2020-06-16,"AWARENESS"," Guide to address stigma associated with COVID19(Hindi).pdf",2," Guide to address stigma associated with COVID19(Hindi)","AWARENESS","AWARENESS",7
2020-06-18,"AWARENESS"," An IIllustrative Guide on COVID Appropraite Behaviours( English).pdf",1," An IIllustrative Guide on COVID Appropraite Behaviours( English)","AWARENESS","AWARENESS",8
2020-06-18,"AWARENESS"," An IIllustrative Guide on COVID Appropraite Behaviours( Hindi).pdf",2," An IIllustrative Guide on COVID Appropraite Behaviours( Hindi)","AWARENESS","AWARENESS",8
2020-06-27,"OFFICIAL"," Clinical Management Protocol for COVID-19 [Updated on 03.07.2020].pdf",1," Clinical Management Protocol for COVID-19 [Updated on 03.07.2020]","OFFICIAL","OFFICIAL",8
2020-06-29,"HOSPITALS"," Second Interim National Guidance to Blood Transfusion Services in India in light of Covid-19 pandemic, 25th June 2020.pdf",1," Second Interim National Guidance to Blood Transfusion Services in India in light of Covid-19 pandemic, 25th June 2020","HOSPITALS","HOSPITALS",18
2020-06-29,"OFFICIAL"," Second Interim National Guidance to Blood Transfusion Services in India in light of Covid-19 pandemic, 25th June 2020.pdf",1," Second Interim National Guidance to Blood Transfusion Services in India in light of Covid-19 pandemic, 25th June 2020","OFFICIAL","OFFICIAL",18
2020-07-09,"PSYCHOSOCIAL"," Mental Health in the times of COVID-19 Pandemic - Guidance for General Medical and Specialised Mental Health Care Settings.pdf",1," Mental Health in the times of COVID-19 Pandemic - Guidance for General Medical and Specialised Mental Health Care Settings","PSYCHOSOCIAL","OTHERS",19
2020-07-09,"HOSPITALS"," Mental Health in the times of COVID19 Pandemic Guidance for General Medical and Specialised Mental Health Care Settings.pdf",1," Mental Health in the times of COVID19 Pandemic Guidance for General Medical and Specialised Mental Health Care Settings","HOSPITALS","HOSPITALS",18
2020-07-13,"CITIZENS","Fixation of rate for rt PCR Test for COVID-19 in respect of Central Services (Medical Attendance) beneficiaries.pdf",1,"Fixation of rate for rt PCR Test for COVID-19 in respect of Central Services (Medical Attendance) beneficiaries","CITIZENS","CITIZENS",17
2020-07-16,"OFFICIAL"," Letter from ICMR to States and UTs for District wise login credentials for rapid antigen testing for COVID 19.pdf",1," Letter from ICMR to States and UTs for District wise login credentials for rapid antigen testing for COVID 19","OFFICIAL","OFFICIAL",19
2020-07-17,"CITIZENS"," Advisory for Gated Residential Complexes with regards to COVID-19.pdf",1," Advisory for Gated Residential Complexes with regards to COVID-19","CITIZENS","CITIZENS",9
